#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jun 16 15:36:59 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       tan_combinatorial_map.ncd
#OUTPUT FILE:      tan_combinatorial_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C2,operand_b<15>,IOB,IO_L16P_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C3,,,VCCO_35,,,35,,,,,1.80,,,,
C4,,IOB33M,IO_L7P_T1_AD6P_35,UNUSED,,35,,,,,,,,,
C5,,IOB33S,IO_L1N_T0_AD4N_35,UNUSED,,35,,,,,,,,,
C6,,IOB33M,IO_L1P_T0_AD4P_35,UNUSED,,35,,,,,,,,,
C7,,IOB33S,IO_L4N_T0_35,UNUSED,,35,,,,,,,,,
C8,,,GND,,,,,,,,,,,,
C9,,IOB33M,IO_L11P_T1_SRCC_16,UNUSED,,16,,,,,,,,,
C10,,IOB33S,IO_L13N_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C11,,IOB33M,IO_L13P_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C12,sqrt<5>,IOB,IO_L3P_T0_DQS_AD1P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C13,,,VCCO_15,,,15,,,,,1.80,,,,
C14,sqrt<2>,IOB,IO_L1N_T0_AD0N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C15,sqrt<24>,IOB,IO_L12N_T1_MRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C16,operand_a<17>,IOB,IO_L20P_T3_A20_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C17,operand_a<11>,IOB,IO_L20N_T3_A19_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C18,,,GND,,,,,,,,,,,,
D1,,,GND,,,,,,,,,,,,
D2,operand_b<12>,IOB,IO_L14N_T2_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D3,operand_b<5>,IOB,IO_L12N_T1_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D4,,IOB33S,IO_L11N_T1_SRCC_35,UNUSED,,35,,,,,,,,,
D5,operand_b<8>,IOB,IO_L11P_T1_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D6,,,VCCO_35,,,35,,,,,1.80,,,,
D7,,IOB33S,IO_L6N_T0_VREF_35,UNUSED,,35,,,,,,,,,
D8,,IOB33M,IO_L4P_T0_35,UNUSED,,35,,,,,,,,,
D9,,IOB33S,IO_L6N_T0_VREF_16,UNUSED,,16,,,,,,,,,
D10,,IOB33S,IO_L19N_T3_VREF_16,UNUSED,,16,,,,,,,,,
D11,,,GND,,,,,,,,,,,,
D12,sqrt<11>,IOB,IO_L6P_T0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D13,sqrt<12>,IOB,IO_L6N_T0_VREF_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D14,sqrt<1>,IOB,IO_L1P_T0_AD0P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D15,sqrt<27>,IOB,IO_L12P_T1_MRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D16,,,VCCO_15,,,15,,,,,1.80,,,,
D17,operand_a<3>,IOB,IO_L16N_T2_A27_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D18,operand_a<13>,IOB,IO_L21N_T3_DQS_A18_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E1,operand_a<14>,IOB,IO_L18N_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E2,operand_b<11>,IOB,IO_L14P_T2_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E3,operand_b<7>,IOB,IO_L12P_T1_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E4,,,GND,,,,,,,,,,,,
E5,,IOB33S,IO_L5N_T0_AD13N_35,UNUSED,,35,,,,,,,,,
E6,,IOB33M,IO_L5P_T0_AD13P_35,UNUSED,,35,,,,,,,,,
E7,,IOB33M,IO_L6P_T0_35,UNUSED,,35,,,,,,,,,
E8,,,VCCBATT_0,,,,,,,,,,,,
E9,,,CCLK_0,,,,,,,,,,,,
E10,,,TCK_0,,,,,,,,,,,,
E11,,,TDI_0,,,,,,,,,,,,
E12,,,TMS_0,,,,,,,,,,,,
E13,,,TDO_0,,,,,,,,,,,,
E14,,,GND,,,,,,,,,,,,
E15,sqrt<20>,IOB,IO_L11P_T1_SRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
E16,sqrt<29>,IOB,IO_L11N_T1_SRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
E17,sqrt<19>,IOB,IO_L16P_T2_A28_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
E18,operand_a<9>,IOB,IO_L21P_T3_DQS_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F1,operand_b<9>,IOB,IO_L18P_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F2,,,VCCO_35,,,35,,,,,1.80,,,,
F3,operand_b<4>,IOB,IO_L13N_T2_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F4,operand_b<6>,IOB,IO_L13P_T2_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F5,,IOB33,IO_0_35,UNUSED,,35,,,,,,,,,
F6,,IOB33S,IO_L19N_T3_VREF_35,UNUSED,,35,,,,,,,,,
F7,,,GND,,,,,,,,,,,,
F8,,,VCCINT,,,,,,,,1.0,,,,
F9,,,GND,,,,,,,,,,,,
F10,,,VCCBRAM,,,,,,,,,,,,
F11,,,GND,,,,,,,,,,,,
F12,,,VCCAUX,,,,,,,,1.8,,,,
F13,sqrt<9>,IOB,IO_L5P_T0_AD9P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F14,sqrt<10>,IOB,IO_L5N_T0_AD9N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F15,sqrt<21>,IOB,IO_L14P_T2_SRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F16,sqrt<22>,IOB,IO_L14N_T2_SRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F17,,,GND,,,,,,,,,,,,
F18,operand_a<16>,IOB,IO_L22N_T3_A16_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G1,operand_a<15>,IOB,IO_L17N_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G2,operand_a<12>,IOB,IO_L15N_T2_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G3,,IOB33S,IO_L20N_T3_35,UNUSED,,35,,,,,,,,,
G4,,IOB33M,IO_L20P_T3_35,UNUSED,,35,,,,,,,,,
G5,,,VCCO_35,,,35,,,,,1.80,,,,
G6,,IOB33M,IO_L19P_T3_35,UNUSED,,35,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.0,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.0,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCBRAM,,,,,,,,,,,,
G12,,,GND,,,,,,,,,,,,
G13,sqrt<0>,IOB,IO_0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G14,sqrt<23>,IOB,IO_L15N_T2_DQS_ADV_B_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G15,,,VCCO_15,,,15,,,,,1.80,,,,
G16,sqrt<26>,IOB,IO_L13N_T2_MRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G17,operand_a<4>,IOB,IO_L18N_T2_A23_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G18,operand_a<0>,IOB,IO_L22P_T3_A17_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H1,operand_b<14>,IOB,IO_L17P_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H2,operand_b<10>,IOB,IO_L15P_T2_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H3,,,GND,,,,,,,,,,,,
H4,,IOB33S,IO_L21N_T3_DQS_35,UNUSED,,35,,,,,,,,,
H5,,IOB33S,IO_L24N_T3_35,UNUSED,,35,,,,,,,,,
H6,operand_b<18>,IOB,IO_L24P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.0,,,,
H9,,,GNDADC_0,,,,,,,,,,,,
H10,,,VCCADC_0,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCAUX,,,,,,,,1.8,,,,
H13,,,GND,,,,,,,,,,,,
H14,sqrt<17>,IOB,IO_L15P_T2_DQS_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H15,operand_a<6>,IOB,IO_L19N_T3_A21_VREF_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H16,sqrt<25>,IOB,IO_L13P_T2_MRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H17,operand_a<7>,IOB,IO_L18P_T2_A24_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H18,,,VCCO_15,,,15,,,,,1.80,,,,
J1,,,VCCO_35,,,35,,,,,1.80,,,,
J2,,IOB33S,IO_L22N_T3_35,UNUSED,,35,,,,,,,,,
J3,,IOB33M,IO_L22P_T3_35,UNUSED,,35,,,,,,,,,
J4,,IOB33M,IO_L21P_T3_DQS_35,UNUSED,,35,,,,,,,,,
J5,operand_b<17>,IOB,IO_25_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J6,,,GND,,,,,,,,,,,,
J7,,,VCCINT,,,,,,,,1.0,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VREFN_0,,,,,,,,,,,,
J10,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
J11,,,VCCINT,,,,,,,,1.0,,,,
J12,,,GND,,,,,,,,,,,,
J13,operand_a<2>,IOB,IO_L17N_T2_A25_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J14,operand_a<5>,IOB,IO_L19P_T3_A22_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J15,operand_a<1>,IOB,IO_L24N_T3_RS0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J16,,,GND,,,,,,,,,,,,
J17,,IOB33M,IO_L23P_T3_FOE_B_15,UNUSED,,15,,,,,,,,,
J18,,IOB33S,IO_L23N_T3_FWE_B_15,UNUSED,,15,,,,,,,,,
K1,operand_b<13>,IOB,IO_L23N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
K2,operand_b<16>,IOB,IO_L23P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
K3,,IOB33M,IO_L2P_T0_34,UNUSED,,34,,,,,,,,,
K4,,,VCCO_34,,,34,,,,,1.80,,,,
K5,,IOB33M,IO_L5P_T0_34,UNUSED,,34,,,,,,,,,
K6,,IOB33,IO_0_34,UNUSED,,34,,,,,,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.0,,,,
K9,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
K10,,,VREFP_0,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,,VCCAUX,,,,,,,,1.8,,,,
K13,operand_a<8>,IOB,IO_L17P_T2_A26_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
K14,,,VCCO_15,,,15,,,,,1.80,,,,
K15,,IOB33M,IO_L24P_T3_RS1_15,UNUSED,,15,,,,,,,,,
K16,,IOB33,IO_25_15,UNUSED,,15,,,,,,,,,
K17,operand_a<19>,IOB,IO_L1P_T0_D00_MOSI_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
K18,operand_a<20>,IOB,IO_L1N_T0_D01_DIN_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
L1,,IOB33M,IO_L1P_T0_34,UNUSED,,34,,,,,,,,,
L2,,,GND,,,,,,,,,,,,
L3,,IOB33S,IO_L2N_T0_34,UNUSED,,34,,,,,,,,,
L4,,IOB33S,IO_L5N_T0_34,UNUSED,,34,,,,,,,,,
L5,,IOB33S,IO_L6N_T0_VREF_34,UNUSED,,34,,,,,,,,,
L6,,IOB33M,IO_L6P_T0_34,UNUSED,,34,,,,,,,,,
L7,,,VCCINT,,,,,,,,1.0,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,DXN_0,,,,,,,,,,,,
L10,,,DXP_0,,,,,,,,,,,,
L11,,,VCCINT,,,,,,,,1.0,,,,
L12,,,GND,,,,,,,,,,,,
L13,operand_a<29>,IOB,IO_L6P_T0_FCS_B_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
L14,operand_a<21>,IOB,IO_L2P_T0_D02_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
L15,operand_a<23>,IOB,IO_L3P_T0_DQS_PUDC_B_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
L16,operand_a<24>,IOB,IO_L3N_T0_DQS_EMCCLK_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
L17,,,VCCO_14,,,14,,,,,1.80,,,,
L18,operand_a<25>,IOB,IO_L4P_T0_D04_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
M1,,IOB33S,IO_L1N_T0_34,UNUSED,,34,,,,,,,,,
M2,,IOB33S,IO_L4N_T0_34,UNUSED,,34,,,,,,,,,
M3,,IOB33M,IO_L4P_T0_34,UNUSED,,34,,,,,,,,,
M4,,IOB33M,IO_L16P_T2_34,UNUSED,,34,,,,,,,,,
M5,,,GND,,,,,,,,,,,,
M6,,IOB33M,IO_L18P_T2_34,UNUSED,,34,,,,,,,,,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCINT,,,,,,,,1.0,,,,
M9,,,GND,,,,,,,,,,,,
M10,,,VCCINT,,,,,,,,1.0,,,,
M11,,,GND,,,,,,,,,,,,
M12,,,VCCAUX,,,,,,,,1.8,,,,
M13,operand_a<30>,IOB,IO_L6N_T0_D08_VREF_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
M14,operand_a<22>,IOB,IO_L2N_T0_D03_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
M15,,,GND,,,,,,,,,,,,
M16,angle<5>,IOB,IO_L10P_T1_D14_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M17,operand_a<31>,IOB,IO_L10N_T1_D15_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
M18,operand_a<26>,IOB,IO_L4N_T0_D05_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
N1,,IOB33S,IO_L3N_T0_DQS_34,UNUSED,,34,,,,,,,,,
N2,,IOB33M,IO_L3P_T0_DQS_34,UNUSED,,34,,,,,,,,,
N3,,,VCCO_34,,,34,,,,,1.80,,,,
N4,,IOB33S,IO_L16N_T2_34,UNUSED,,34,,,,,,,,,
N5,operand_b<29>,IOB,IO_L13P_T2_MRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
N6,,IOB33S,IO_L18N_T2_34,UNUSED,,34,,,,,,,,,
N7,,,VCCINT,,,,,,,,1.0,,,,
N8,,,GND,,,,,,,,,,,,
N9,,,VCCINT,,,,,,,,1.0,,,,
N10,,,GND,,,,,,,,,,,,
N11,,,VCCINT,,,,,,,,1.0,,,,
N12,,,GND,,,,,,,,,,,,
N13,,,VCCO_14,,,14,,,,,1.80,,,,
N14,angle<1>,IOB,IO_L8P_T1_D11_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N15,angle<7>,IOB,IO_L11P_T1_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N16,angle<8>,IOB,IO_L11N_T1_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N17,angle<3>,IOB,IO_L9P_T1_DQS_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N18,,,GND,,,,,,,,,,,,
P1,,,GND,,,,,,,,,,,,
P2,,IOB33M,IO_L15P_T2_DQS_34,UNUSED,,34,,,,,,,,,
P3,,IOB33S,IO_L14N_T2_SRCC_34,UNUSED,,34,,,,,,,,,
P4,operand_b<31>,IOB,IO_L14P_T2_SRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
P5,operand_b<30>,IOB,IO_L13N_T2_MRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
P6,,,VCCO_34,,,34,,,,,1.80,,,,
P7,,,INIT_B_0,,,,,,,,,,,,
P8,,,CFGBVS_0,,,,,,,,,,,,
P9,,,PROGRAM_B_0,,,,,,,,,,,,
P10,,,DONE_0,,,,,,,,,,,,
P11,,,M2_0,,,,,,,,,,,,
P12,,,M0_0,,,,,,,,,,,,
P13,,,M1_0,,,,,,,,,,,,
P14,angle<2>,IOB,IO_L8N_T1_D12_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P15,angle<11>,IOB,IO_L13P_T2_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P16,,,VCCO_14,,,14,,,,,1.80,,,,
P17,angle<9>,IOB,IO_L12P_T1_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P18,angle<4>,IOB,IO_L9N_T1_DQS_D13_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,,IOB33M,IO_L17P_T2_34,UNUSED,,34,,,,,,,,,
R2,,IOB33S,IO_L15N_T2_DQS_34,UNUSED,,34,,,,,,,,,
R3,operand_b<25>,IOB,IO_L11P_T1_SRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
R4,,,GND,,,,,,,,,,,,
R5,,IOB33S,IO_L19N_T3_VREF_34,UNUSED,,34,,,,,,,,,
R6,,IOB33M,IO_L19P_T3_34,UNUSED,,34,,,,,,,,,
R7,,IOB33M,IO_L23P_T3_34,UNUSED,,34,,,,,,,,,
R8,,IOB33M,IO_L24P_T3_34,UNUSED,,34,,,,,,,,,
R9,,,VCCO_0,,,0,,,,,any******,,,,
R10,operand_b<0>,IOB,IO_25_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R11,operand_a<18>,IOB,IO_0_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R12,operand_a<27>,IOB,IO_L5P_T0_D06_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R13,operand_a<28>,IOB,IO_L5N_T0_D07_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R14,,,GND,,,,,,,,,,,,
R15,angle<12>,IOB,IO_L13N_T2_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R16,angle<15>,IOB,IO_L15P_T2_DQS_RDWR_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R17,angle<10>,IOB,IO_L12N_T1_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R18,angle<6>,IOB,IO_L7P_T1_D09_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T1,,IOB33S,IO_L17N_T2_34,UNUSED,,34,,,,,,,,,
T2,,,VCCO_34,,,34,,,,,1.80,,,,
T3,operand_b<26>,IOB,IO_L11N_T1_SRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
T4,operand_b<28>,IOB,IO_L12N_T1_MRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
T5,operand_b<27>,IOB,IO_L12P_T1_MRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
T6,,IOB33S,IO_L23N_T3_34,UNUSED,,34,,,,,,,,,
T7,,,GND,,,,,,,,,,,,
T8,,IOB33S,IO_L24N_T3_34,UNUSED,,34,,,,,,,,,
T9,operand_b<1>,IOB,IO_L24P_T3_A01_D17_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T10,operand_b<2>,IOB,IO_L24N_T3_A00_D16_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T11,angle<23>,IOB,IO_L19P_T3_A10_D26_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T12,,,VCCO_14,,,14,,,,,1.80,,,,
T13,angle<27>,IOB,IO_L23P_T3_A03_D19_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
